country,year,gwno,ccode,ifscode,ifs,gwabbrev,gdppc_WDI_PW,lngdppc_WDI_PW,democracy_DD,v2x_polyarchy_VDEM,v2x_corr_VDEM
Colombia,1959,100,100,233,COL,COL,3016.48116,8.01184625,1,0.343,0.583
Colombia,1959,100,100,233,COL,COL,3016.48116,8.01184625,1,0.343,0.583
Colombia,1960,100,100,233,COL,COL,1906.01502,7.55276996,1,0.36,0.583
Colombia,1960,100,100,233,COL,COL,1906.01502,7.55276996,1,0.36,0.583
Colombia,1961,100,100,233,COL,COL,1941.34582,7.57113673,1,0.366,0.583
Colombia,1961,100,100,233,COL,COL,1941.34582,7.57113673,1,0.366,0.583
Colombia,1962,100,100,233,COL,COL,1983.54272,7.59263977,1,0.365,0.583
Colombia,1962,100,100,233,COL,COL,1983.54272,7.59263977,1,0.365,0.583
Colombia,1963,100,100,233,COL,COL,1986.32567,7.59404181,1,0.364,0.583
Colombia,1963,100,100,233,COL,COL,1986.32567,7.59404181,1,0.364,0.583
Colombia,1964,100,100,233,COL,COL,2045.56198,7.62342784,1,0.364,0.583
Colombia,1964,100,100,233,COL,COL,2045.56198,7.62342784,1,0.364,0.583
Colombia,1965,100,100,233,COL,COL,2056.95076,7.62897995,1,0.364,0.583
Colombia,1965,100,100,233,COL,COL,2056.95076,7.62897995,1,0.364,0.583
Colombia,1966,100,100,233,COL,COL,2102.41122,7.65084016,1,0.365,0.583
Colombia,1966,100,100,233,COL,COL,2102.41122,7.65084016,1,0.365,0.583
Colombia,1967,100,100,233,COL,COL,2127.78501,7.66283681,1,0.365,0.583
Colombia,1967,100,100,233,COL,COL,2127.78501,7.66283681,1,0.365,0.583
Colombia,1968,100,100,233,COL,COL,2192.55503,7.69282282,1,0.365,0.583
Colombia,1968,100,100,233,COL,COL,2192.55503,7.69282282,1,0.365,0.583
Colombia,1969,100,100,233,COL,COL,2265.39925,7.72550629,1,0.365,0.583
Colombia,1969,100,100,233,COL,COL,2265.39925,7.72550629,1,0.365,0.583
Colombia,1970,100,100,233,COL,COL,2345.81161,7.76038672,1,0.354,0.583
Colombia,1970,100,100,233,COL,COL,2345.81161,7.76038672,1,0.354,0.583
Colombia,1971,100,100,233,COL,COL,2426.45552,7.79418684,1,0.373,0.583
Colombia,1971,100,100,233,COL,COL,2426.45552,7.79418684,1,0.373,0.583
Colombia,1972,100,100,233,COL,COL,2553.08572,7.84505799,1,0.382,0.583
Colombia,1972,100,100,233,COL,COL,2553.08572,7.84505799,1,0.382,0.583
Colombia,1973,100,100,233,COL,COL,2664.60181,7.88780991,1,0.382,0.583
Colombia,1973,100,100,233,COL,COL,2664.60181,7.88780991,1,0.382,0.583
Colombia,1974,100,100,233,COL,COL,2756.18871,7.92160410,1,0.43,0.583
Colombia,1974,100,100,233,COL,COL,2756.18871,7.92160410,1,0.43,0.583
Colombia,1975,100,100,233,COL,COL,2758.45006,7.92242423,1,0.464,0.583
Colombia,1975,100,100,233,COL,COL,2758.45006,7.92242423,1,0.464,0.583
Colombia,1976,100,100,233,COL,COL,2825.18097,7.94632770,1,0.464,0.583
Colombia,1976,100,100,233,COL,COL,2825.18097,7.94632770,1,0.464,0.583
Colombia,1977,100,100,233,COL,COL,2877.59762,7.96471106,1,0.469,0.583
Colombia,1977,100,100,233,COL,COL,2877.59762,7.96471106,1,0.469,0.583
Colombia,1978,100,100,233,COL,COL,3052.29611,8.02364941,1,0.441,0.583
Colombia,1978,100,100,233,COL,COL,3052.29611,8.02364941,1,0.441,0.583
Colombia,1979,100,100,233,COL,COL,3145.66621,8.05378097,1,0.42,0.583
Colombia,1979,100,100,233,COL,COL,3145.66621,8.05378097,1,0.42,0.583
Colombia,1980,100,100,233,COL,COL,3202.73070,8.07175906,1,0.425,0.583
